ID,Posted_date,Job Title from List,Job Title,Job Type,Company,Country,Location,Hard Skills,Soft Skills,Languages,Salary Info,Source
1,01/30/2025,unknown,Graphic Designer AI,Work,KITTEK GROUP,Uzbekistan,Tashkent,"Adobe Creative Suite, Bitrix, Figma, Midjourney","Creative Thinking, Teamwork, Communication, Problem-Solving, Adaptability, Self-Motivation","English B2, Russian C1, Uzbek",9750000.0,hh.uz
2,01/27/2025,unknown,Support Associate,Work,WOLT TEXNOLOGIYALARI,Uzbekistan,Tashkent,N/A,"Communication, Teamwork, Adaptability, Problem-Solving","English B2, Russian C1, Uzbek C2",,hh.uz
3,01/29/2025,unknown,3D Designer-Visualizer,Work,Displej Art,Uzbekistan,Tashkent,N/A,"Teamwork, Self-Motivation","Russian, Uzbek",8125000.0,hh.uz
4,01/30/2025,unknown,Backend PHP Developer,Work,UZINFOCOM,Uzbekistan,Tashkent,"Docker, Git, Laravel, MySQL, PHP, PostgreSQL",,,,hh.uz
5,01/27/2025,unknown,Intern Video Game Tester Tashkent,Intern,G-CORE TOSHKENT,Uzbekistan,Tashkent,"Linux, Python","Analytical thinking, Teamwork, Adaptability","English B2, Russian B2, Uzbek",,hh.uz
6,01/31/2025,unknown,Product Director,Work,ChP BRESSO,Uzbekistan,Tashkent,N/A,"Leadership, Problem-Solving, Analytical Thinking, Adaptability, Self-Motivation","English A1, Russian C2, Uzbek C2",,hh.uz
7,01/27/2025,unknown,Graphic and Motion Designer,Work,Open Engine (Yangi uylar),Uzbekistan,Tashkent,Figma,"Adaptability, Creative Thinking, Teamwork",,12000000.0,hh.uz
8,01/30/2025,unknown,Laravel Developer,Work,EVERBESTLAB,Uzbekistan,Tashkent,"Git, Laravel, PHP, PostgreSQL",Teamwork,,11000000.0,hh.uz
9,01/31/2025,unknown,Network Infrastructure and Telephony Engineer,Work,SP UZCOPPER,Uzbekistan,Tashkent,Cisco ASA,"Communication, Problem-Solving, Analytical Thinking","English, Russian, Uzbek",,hh.uz
10,01/29/2025,unknown,Pure JS Developer,Work,WATCHDOG,Uzbekistan,Tashkent,"Bitbucket, GitHub, JavaScript, Selenium",,English,32500000.0,hh.uz
11,01/31/2025,unknown,Investment manager,Work,Tashkent Pharma Park innovatsion ilmij-ishlab chiқarish farmatsevtika klasterini rivozhlantirish direktsijasi,Uzbekistan,Tashkent,N/A,"Analytical Thinking, Teamwork, Responsibility",English B2,,hh.uz
12,01/31/2025,unknown,AppSec Engineer,Work,ANOR BANK,Uzbekistan,Tashkent,"Java, JavaScript, Swift","Teamwork, Communication",,,hh.uz
13,01/30/2025,unknown,Business Analyst Healthcare Project,Work,UZINFOCOM,Uzbekistan,Tashkent,"Confluence, JIRA","Problem-Solving, Teamwork, Analytical Thinking, Communication","English, Russian",,hh.uz
14,01/30/2025,unknown,WordPress Developer,Work,PROSIGHT DEV,Uzbekistan,Tashkent,"Adobe XD, Figma, JavaScript, PHP","Creative Thinking, Teamwork, Adaptability",Russian C2,,hh.uz
15,02/01/2025,unknown,Project Manager,Work,INNASOFT DIGITAL SERVICE,Uzbekistan,Tashkent,"Confluence, JIRA, Trello","Leadership, Communication, Negotiation, Problem-Solving, Adaptability, Teamwork","English B2, Russian C2, Uzbek C2",8500000.0,hh.uz
16,01/29/2025,unknown,Senior Go Developer,Work,WATCHDOG,Uzbekistan,Tashkent,N/A,"Communication, Problem-Solving, Teamwork, Adaptability, Self-Motivation",English,41600000.0,hh.uz
17,01/27/2025,unknown,Graphic designer,Work,NAZAROV ALISHER ABDUMADJIDOVICH,Uzbekistan,Samarkand,"Adobe Photoshop, CorelDRAW",,,4000000.0,hh.uz
18,01/29/2025,unknown,"Product Manager, Representative Office of the French pharmaceutical company Innotech",Work,Laboratoire Innotech International,Uzbekistan,Tashkent,N/A,"Strategic thinking, Communication, Problem-Solving, Teamwork, Adaptability","English B2, Russian, Uzbek",,hh.uz
19,01/27/2025,unknown,Jewelry designer,Work,TECHNOLOGY DEVELOPMENT (Juvelirnyj zavod Fonon),Uzbekistan,Tashkent,N/A,Communication,"English, Russian, Uzbek",,hh.uz
20,01/29/2025,unknown,Technical Support Specialist,Work,LEADHUNTER,Uzbekistan,Tashkent,N/A,"Stress resistance, Teamwork","Russian C1, Uzbek C1",3250000.0,hh.uz
21,01/31/2025,unknown,Web developer stong junior - middle,Work,Citi Fuel ( Staff Atlantic),Uzbekistan,Tashkent,"Figma, JavaScript, PHP",,Uzbek,,hh.uz
22,01/31/2025,unknown,Java developer,Work,TECHNO FLAGMAN,Uzbekistan,Tashkent,"Apache, Apache Kafka, Docker, Git, Gradle, Java, Kotlin, PostgreSQL, SQL, Spring, Swagger","Problem-Solving, Adaptability, Self-Motivation",,9750000.0,hh.uz
23,01/27/2025,unknown,Systems Engineer,Work,Sharifa Com,Uzbekistan,Tashkent,"Linux, Windows Server","Analytical Thinking, Communication, Teamwork, Self-Motivation","English, Uzbek",24000000.0,hh.uz
24,02/02/2025,unknown,Project manager,Work,AXBOROT VA PEDAGOGIKA TEXNOLOGIYALARI INNOVATSION MARKAZI,Uzbekistan,Tashkent,N/A,Adaptive planning,"Russian B2, Uzbek B2",10000000.0,hh.uz
25,01/29/2025,unknown,Service Desk User Support Specialist,Work,ISHONCH KREDIT SAVDO,Uzbekistan,Tashkent,Windows Server,"Communication, Adaptability, Self-Motivation, Responsibility, Focus on Results, Stress Resistance, Sociability, Discipline",,7000000.0,hh.uz
26,02/01/2025,unknown,Graphic designer,Work,THE NEXT DREAM,Uzbekistan,Tashkent,"Adobe Photoshop, CorelDRAW","Creativity, Teamwork","Russian A2, Uzbek C2",7500000.0,hh.uz
27,01/29/2025,unknown,Head of Security Department,Work,Sunshine Turon International Ltd,Uzbekistan,Tashkent,N/A,"Organizational skills, Time management",Russian,,hh.uz
28,02/02/2025,unknown,Graphic designer,Work,AKFA MEDLINE,Uzbekistan,Tashkent,"Adobe Photoshop, Figma, Unity","Creativity, Attention to detail, Adaptability",,4000000.0,hh.uz
29,01/31/2025,unknown,Illustrator,Work,AXBOROT VA PEDAGOGIKA TEXNOLOGIYALARI INNOVATSION MARKAZI,Uzbekistan,Tashkent,"Adobe Photoshop, CorelDRAW","Adaptability, Creative Thinking, Problem-Solving, Communication",,11500000.0,hh.uz
30,01/31/2025,unknown,MiddleFlutter Developer,Work,A GROUP MOTORS,Uzbekistan,Tashkent,"Dart, Flutter, Git","Teamwork, Adaptability, Problem-Solving",,20000000.0,hh.uz
31,01/31/2025,unknown,Designer,Work,MUSHBUR,Uzbekistan,Tashkent,"Adobe Creative Suite, Adobe Photoshop, Adobe XD, Figma","Creative Thinking, Attention to detail, Teamwork, Adaptability",,5000000.0,hh.uz
32,01/30/2025,unknown,Chief Information Officer CIO,Work,AKFA BUILDING MATERIALS. IT i SAP,Uzbekistan,Tashkent,N/A,,,39000000.0,hh.uz
33,01/31/2025,unknown,IT Department Specialist,Work,Microyol,Uzbekistan,Tashkent,Linux,"Teamwork, Adaptability, Self-Motivation, Problem-Solving, Communication","Russian, Uzbek",6000000.0,hh.uz
34,01/28/2025,unknown,QA Tester,Work,Texnomart,Uzbekistan,Tashkent,"JIRA, SQL","Teamwork, Communication, Attention to detail, Problem-Solving",,,hh.uz
35,01/18/2025,unknown,Intern Front-end Developer,Intern,Itransition,Uzbekistan,Tashkent,"CSS, Git, JavaScript","Teamwork, Self-Motivation","English B1, Russian C1",,hh.uz
36,02/03/2025,unknown,Graphic designer,Work,AKMAL UMID BARAKA,Uzbekistan,Tashkent,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, Adobe XD, Figma",Creative Thinking,,11000000.0,hh.uz
37,01/10/2025,unknown,Customer Support Specialist,Work,YANGI BANK,Uzbekistan,Tashkent,N/A,"Problem-Solving, Communication, Adaptability, Logical Thinking, Customer Focus","Russian C1, Uzbek C1",,hh.uz
38,01/23/2025,unknown,QA Engineer,Work,Kash APP,Uzbekistan,Tashkent,N/A,"Critical Thinking, Problem-Solving, Communication, Teamwork, Adaptability","Russian C1, Uzbek C1",20000000.0,hh.uz
39,02/02/2025,unknown,Junior/Middle Frontend Developer,Work,TOO OpenHC,Uzbekistan,Tashkent,"Angular, Flutter, JavaScript, PHP, React, TypeScript, Vue.js","Teamwork, Adaptability, Self-Motivation",Russian B2,,hh.uz
40,01/28/2025,unknown,Product designer Tashkent,Work,CLICK,Uzbekistan,Tashkent,Figma,"Teamwork, Communication, Problem-Solving, Adaptability","English, Russian C2, Uzbek C2",,hh.uz
41,01/31/2025,unknown,Network Administrator of the Information Technology Department,Work,Gos. korp. UNIVERSITET NEFTI I GAZA imeni GUBKINA,Uzbekistan,Tashkent,N/A,"Business communication, Executiveness, Teamwork",Russian C1,,hh.uz
42,01/31/2025,unknown,Backend developer,Work,Lesta Igry,Uzbekistan,Tashkent,"Django, Docker, FastAPI, Git, Golang, PostgreSQL, Python",,Russian C2,,hh.uz
43,01/31/2025,unknown,UX/UI designer,Work,Strategija i finansy,Uzbekistan,Tashkent,"Adobe Photoshop, Adobe XD, CSS, Figma, JavaScript","Analytical Thinking, Problem-Solving, Communication, Teamwork, Adaptability",,,hh.uz
44,01/29/2025,unknown,Interior designer,Work,ChP QURILISH SAVDO GROUP,Uzbekistan,Tashkent,N/A,"Communication, Teamwork, Responsibility","Russian C2, Uzbek",7000000.0,hh.uz
45,01/23/2025,unknown,Python Developer,Work,UZINFOCOM,Uzbekistan,Tashkent,"Django, Git, GitHub, MySQL, PostgreSQL, Python","Problem-solving, Communication, Teamwork",,,hh.uz
46,01/31/2025,unknown,System administrator,Work,Strahovaja kompanija INSON,Uzbekistan,Tashkent,"Apache, Linux, Oracle, Windows Server","Problem-Solving, Teamwork, Adaptability","Russian C1, Uzbek",,hh.uz
47,01/21/2025,unknown,Frontend developer,Work,Udevs,Uzbekistan,Tashkent,"Angular, CSS, Git, JavaScript, React, TypeScript, Vue.js",,"Russian B2, Uzbek C2",,hh.uz
48,01/31/2025,unknown,Product Manager,Work,Farmalife,Uzbekistan,Tashkent,"Excel, PowerPoint, Word","Teamwork, Responsibility","Russian, Uzbek",22500000.0,hh.uz
49,01/30/2025,unknown,Director of PVC profile production,Work,AKFA BUILDING MATERIALS. Proizvodstvo,Uzbekistan,Tashkent,N/A,,,60000000.0,hh.uz
50,01/29/2025,unknown,QA engineer,Work,AKB Tenge Bank,Uzbekistan,Tashkent,"Git, SQL","Teamwork, Adaptability, Self-Motivation","English B1, Russian C2",,hh.uz
51,01/30/2025,unknown,Analyst,Work,HamkorBank,Uzbekistan,Tashkent,"ClickHouse, SQL",,Uzbek,,hh.uz
52,01/30/2025,unknown,Product Manager DA,Work,Samsung Electronics Uzbekistan,Uzbekistan,Tashkent,Excel,"Analytical Thinking, Problem-Solving, Communication","English, Russian, Uzbek",,hh.uz
53,01/28/2025,unknown,IT Infrastructure Administrator,Work,COSCOM TM Ucell,Uzbekistan,Tashkent,"Linux, Windows Server","Problem-Solving, Adaptability",,,hh.uz
54,01/31/2025,unknown,Interior Work,Work,USMA FUTURE (InHunter),Uzbekistan,Tashkent,N/A,Creative Thinking,,7500000.0,hh.uz
55,01/27/2025,unknown,Technical support,Work,PROJECTS (GK Consulting),Uzbekistan,Tashkent,Adobe Photoshop,"Teamwork, Adaptability, Self-Motivation","English, Russian, Uzbek",4350000.0,hh.uz
56,01/20/2025,unknown,Research Intern,Intern,ERGO ANALYTICS,Uzbekistan,Tashkent,"Excel, Stata, Word","Analytical Thinking, Critical Thinking, Problem-Solving","English, Russian, Uzbek",5000000.0,hh.uz
57,02/02/2025,unknown,Project Manager,Work,TASNIFGROUP,Uzbekistan,Tashkent,N/A,"Problem-Solving, Adaptability, Teamwork, Communication, Self-Motivation","English A2, Russian B1",,hh.uz
58,01/28/2025,unknown,PHP programmer,Work,Nauchno informatsionnyj tsentr novyh tehnologij pri GNK RUz,Uzbekistan,Tashkent,"Laravel, MySQL, Oracle, PHP, SQL","Accuracy and attention to detail, Career planning, Striving for professional growth, Conflict-free",Uzbek,22500000.0,hh.uz
59,01/27/2025,unknown,UX/UI designer,Work,Kash APP,Uzbekistan,Tashkent,Figma,"Communication, Teamwork","Russian C1, Uzbek C1",,hh.uz
60,01/08/2025,unknown,Test engineer,Work,BBK Tashkent Limited,Uzbekistan,Tashkent,"Excel, Word","Responsibility, Learning Ability","English, Russian, Uzbek",,hh.uz
61,02/02/2025,unknown,Graphic designer,Work,Valiev Damir Al'bertovich,Uzbekistan,Tashkent,"Adobe Photoshop, Figma",,,,hh.uz
62,01/22/2025,unknown,Middle Java Developer d. Tashkent,Work,CLICK,Uzbekistan,Tashkent,"Docker, Git, Java, Kubernetes, Maven, PostgreSQL, Spring",,"English, Russian",,hh.uz
63,02/02/2025,unknown,Frontend developer,Work,WATCHDOG,Uzbekistan,Tashkent,"Figma, React, TypeScript","Communication, Teamwork",English,29900000.0,hh.uz
64,01/30/2025,unknown,Manual tester junior / initial middle,Work,Citi Fuel ( Staff Atlantic),Uzbekistan,Tashkent,"Confluence, JIRA, Swagger",,"Russian, Uzbek",7500000.0,hh.uz
65,01/28/2025,unknown,Head of IT Department,Work,International Foodchain,Uzbekistan,Tashkent,N/A,"Problem-Solving, Leadership",English,,hh.uz
66,02/03/2025,unknown,Art director,Work,TENET-GROUP,Uzbekistan,Tashkent,"Adobe Creative Suite, Adobe Photoshop","Creativity, Teamwork, Adaptability, Problem-Solving",Russian C2,25000000.0,hh.uz
67,02/01/2025,unknown,Frontend Vue Developer,Work,SMARTTECH SOFT,Uzbekistan,Tashkent,"CSS, Git, JavaScript","Teamwork, Communication",,32500000.0,hh.uz
68,02/03/2025,unknown,Project Manager,Work,InFinBank,Uzbekistan,Tashkent,N/A,"Problem-Solving, Communication, Teamwork, Analytical Thinking, Adaptability, Negotiation, Leadership",Russian C2,,hh.uz
69,01/30/2025,unknown,System administrator,Work,PROWEB.UZ (NOU «SMART EDUCATION SOLUTIONS»),Uzbekistan,Tashkent,Assembly,"Teamwork, Adaptability, Self-Motivation",Russian C1,5000000.0,hh.uz
70,01/30/2025,unknown,IT specialist,Work,International Foodchain,Uzbekistan,Tashkent,N/A,,Uzbek,,hh.uz
71,01/09/2025,unknown,Python Developer,Work,Garant bank,Uzbekistan,Tashkent,"Django, FastAPI, Flask, Git, NumPy, Pandas, Pytest, Python, SQL",,,,hh.uz
72,01/13/2025,unknown,Data Analyst/Machine Learning Intern for e-Grocery  Korzinka Go,Intern,Korzinka (Anglesey food),Uzbekistan,Tashkent,N/A,,,,hh.uz
73,01/31/2025,unknown,Flutter Mobile Developer Jowi,Work,SMART HR,Uzbekistan,Tashkent,"Dart, Flutter, Git",,"English, Russian C2, Uzbek B2",,hh.uz
74,01/30/2025,unknown,Flutter Junior Mobile Developer,Work,Sarkor Telekom,Uzbekistan,Tashkent,"Android Studio, Dart, Flutter, Git, Linux",,"English, Russian C2, Uzbek",6000000.0,hh.uz
75,01/30/2025,unknown,Leading System Administrator warehouse,Work,Uzum Market,Uzbekistan,Tashkent,JIRA,"Negotiation, Teamwork, Leadership, Communication, Problem-Solving, Systems Thinking","Russian C1, Uzbek B2",,hh.uz
76,01/31/2025,unknown,Junior product manager,Work,Alex Filipov,Uzbekistan,Tashkent,N/A,"Analytical thinking, Problem-Solving, Communication",,14250000.0,hh.uz
77,02/02/2025,unknown,Middle/Senior Frontend Developer,Work,TOO OpenHC,Uzbekistan,Tashkent,"Angular, Flutter, JavaScript, PHP, React, TypeScript, Vue.js","Teamwork, Leadership, Problem-Solving, Adaptability, Self-Motivation",Russian B2,,hh.uz
78,01/27/2025,unknown,Backend developer,Work,UCMG ( ARCA GROUP),Uzbekistan,Tashkent,"Docker, Git, Linux, SQL","Teamwork, Problem-Solving, Analytical Thinking",,,hh.uz
79,01/08/2025,unknown,System administrator,Work,MAGNUM RETAIL,Uzbekistan,Tashkent,"Apache, Bash, Linux, SSH, Windows Server",,"English, Uzbek",,hh.uz
80,01/13/2025,unknown,Network Administrator,Work,CRPT TURON,Uzbekistan,Tashkent,Windows Server,"Problem-Solving, Teamwork",Uzbek,18500000.0,hh.uz
81,01/30/2025,unknown,Project Manager Construction Project Coordinator,Work,Antal International Tashkent Xususiy Bandlik Agentligi,Uzbekistan,Tashkent,N/A,"Negotiation, Problem-Solving","English C2, Russian C2, Uzbek",,hh.uz
82,01/14/2025,unknown,Hikvision Technical Support Specialist,Work,PROQUALITY,Uzbekistan,Tashkent,N/A,"Responsibility, Learning ability, Attentiveness, Stress resistance, Cooperation","Russian, Uzbek",8000000.0,hh.uz
83,01/30/2025,unknown,Node.js developer,Work,AKB Agrobank,Uzbekistan,Tashkent,"Docker, Git, JavaScript, Mocha, MongoDB, MySQL, NestJS, Node.js, PostgreSQL, RabbitMQ","Communication, Teamwork",Uzbek,,hh.uz
84,01/29/2025,unknown,Flutter Developer,Work,PITTSBURGH INTERNATIONAL,Uzbekistan,Tashkent,"Dart, Firebase, Flutter, GitHub, GitHub Actions, Java, JavaScript, Kotlin, Objective-C, Python, SQLite, Swift","Teamwork, Problem-Solving","Russian C1, Uzbek",,hh.uz
85,01/29/2025,unknown,Head of the Technical Department of the DIT,Work,HRBG,Uzbekistan,Tashkent,Windows Server,,Uzbek,,hh.uz
86,01/16/2025,unknown,Frontend developer,Work,SP IST TELEKOM,Uzbekistan,Tashkent,"CSS, JavaScript, Laravel, MongoDB, MySQL, Node.js, PHP, React, Vue.js","Communication, Teamwork, Adaptability","English, Russian, Uzbek",,hh.uz
87,01/06/2025,unknown,Junior Data Scientist,Work,Alif Uzbekistan,Uzbekistan,Tashkent,"Airflow, Bash, Docker, ElasticSearch, Grafana, Helm, Kubernetes, MongoDB, MySQL, NumPy, Pandas, PostgreSQL, PyTorch, Python, SQL, Scikit-learn",,Uzbek,,hh.uz
88,01/28/2025,unknown,Golang developer contract worker,Work,COSCOM TM Ucell,Uzbekistan,Tashkent,"Ansible, ClickHouse, Docker, FastAPI, Flask, Grafana, Linux, PostgreSQL, Prometheus, Python, RabbitMQ","Problem-Solving, Teamwork, Adaptability",,,hh.uz
89,01/19/2025,unknown,Frontend developer,Work,ONLINE COSMETIC,Uzbekistan,Tashkent,"Adobe XD, CSS, Figma, Git, JavaScript",,"English C1, Russian C1, Uzbek C1",26000000.0,hh.uz
90,01/04/2025,unknown,Project Manager,Work,TOSHKENT INVEST KOMPANIYASI,Uzbekistan,Tashkent,N/A,"Strategic thinking, Analytical thinking, Responsibility, Adaptability","English, Russian, Uzbek",,hh.uz
91,01/30/2025,unknown,"BI Data Analyst, Tableau",Work,Octobank,Uzbekistan,Tashkent,"Excel, Hadoop, Power BI, Python, SQL, Tableau","Analytical Thinking, Attention to detail",,,hh.uz
92,01/29/2025,unknown,Junior/Middle QA Engineer WEB,Work,TOO ASBIS Kazahstan,Uzbekistan,Tashkent,JIRA,"Teamwork, Adaptability",,,hh.uz
93,02/03/2025,unknown,Graphic designer,Work,TENET-GROUP,Uzbekistan,Tashkent,N/A,,,,hh.uz
94,01/06/2025,unknown,Director of the household appliances manufacturing plant,Work,Artel Electronics,Uzbekistan,Tashkent,N/A,"Problem-Solving, Analytical skills, Strategic thinking, Responsibility, Professionalism, Resourcefulness, Activity","English, Russian, Uzbek, Chinese",40000000.0,hh.uz
95,01/31/2025,unknown,Graphic - typographic designer,Work,Vades group,Uzbekistan,Tashkent,N/A,"Attention to detail, Responsibility",Uzbek,8000000.0,hh.uz
96,01/31/2025,unknown,Administrator/Graphic Designer,Work,The British School of Tashkent,Uzbekistan,Tashkent,N/A,"Communication, Teamwork, Leadership, Problem-Solving, Adaptability",,10000000.0,hh.uz
97,01/07/2025,unknown,Methodist Assistant,Work,NAJOT TA’LIM MARKAZI,Uzbekistan,Tashkent,N/A,"Communication, Teamwork, Adaptability",Uzbek,,hh.uz
98,01/24/2025,unknown,Leading Specialist in the Information Security and Protection Department,Work,Asakabank,Uzbekistan,Tashkent,"Linux, Oracle, SAP, SQL",,Uzbek,,hh.uz
99,01/31/2025,unknown,Product Owner,Work,PAYME,Uzbekistan,Tashkent,N/A,"Leadership, Communication, Problem-Solving, Analytical Thinking","English, Russian, Uzbek",,hh.uz
100,01/28/2025,unknown,Meta Base BI Analyst / BI Developer,Work,ISHONCH KREDIT SAVDO,Uzbekistan,Tashkent,"Python, SQL","Problem-Solving, Analytical Thinking, Communication",Uzbek,22500000.0,hh.uz
101,01/30/2025,unknown,C/.NET Developer in the IT Department,Work,AKB Agrobank,Uzbekistan,Tashkent,".NET, Confluence, Docker, ElasticSearch, Git, MongoDB, PostgreSQL, RabbitMQ, Swagger","Communication, Problem-Solving, Analytical Thinking","English C1, Russian A2, Uzbek",,hh.uz
102,01/28/2025,unknown,Meta Base BI Analyst / BI Developer,Work,ISHONCH KREDIT SAVDO,Uzbekistan,Tashkent,"Python, SQL","Problem-Solving, Analytical Thinking, Communication",Uzbek,22500000.0,hh.uz
103,01/24/2025,unknown,React Developer,Work,PAYNET,Uzbekistan,Tashkent,"JavaScript, React, TypeScript, Unity","Teamwork, Adaptability, Self-Motivation",Uzbek,,hh.uz
104,01/13/2025,unknown,Junior Data Software Engineer / Junior Data Engineer,Work,ANOR BANK,Uzbekistan,Tashkent,"Airflow, Apache, Apache Airflow, ClickHouse, Docker, Git, Kubernetes, MySQL, Oracle, Pandas, PostgreSQL, Python, SQL","Teamwork, Communication, Adaptability, Self-Motivation","English B1, Russian C1, Uzbek C1",,hh.uz
